DE:64:59:3D:8E:63,ok,-81,3.22,10.01,15.85,3.22
F1:63:F2:BE:56:44,ok,-53,4.39,5.39,5.62,4.39
DB:6D:40:6D:A1:0F,ok,-66,7.43,10.77,14.13,7.43
FF:B4:7D:AB:1B:A2,ok,-59,9.67,11.06,7.94,9.67
FC:40:5D:54:A7:DD,ok,-63,9.00,10.44,7.94,9.00
EE:6F:EE:A7:34:31,ok,-74,8.79,13.23,25.12,8.79
DE:64:59:3D:8E:63,ok,-80,3.52,10.11,19.95,3.52
F1:63:F2:BE:56:44,ok,-59,4.39,5.43,5.62,4.39
DB:6D:40:6D:A1:0F,ok,-77,7.45,10.81,14.13,7.45
FF:B4:7D:AB:1B:A2,ok,-73,9.67,11.04,7.08,9.67
FC:40:5D:54:A7:DD,ok,-63,8.98,10.43,7.94,8.98
DE:64:59:3D:8E:63,ok,-80,3.52,9.85,17.78,3.52
F1:63:F2:BE:56:44,ok,-53,4.39,5.41,5.62,4.39
DB:6D:40:6D:A1:0F,ok,-77,7.43,10.83,14.13,7.43
FF:B4:7D:AB:1B:A2,ok,-74,9.67,10.97,7.94,9.67
EE:6F:EE:A7:34:31,ok,-69,8.79,13.10,25.12,8.79
DE:64:59:3D:8E:63,ok,-82,3.52,10.11,17.78,3.52
F1:63:F2:BE:56:44,ok,-56,4.39,5.43,5.62,4.39
DB:6D:40:6D:A1:0F,ok,-66,7.43,10.80,14.13,7.43
FF:B4:7D:AB:1B:A2,ok,-59,9.67,10.95,7.94,9.67
FC:40:5D:54:A7:DD,ok,-64,9.01,10.39,7.94,9.01
EE:6F:EE:A7:34:31,ok,-69,8.79,13.17,25.12,8.79
DE:64:59:3D:8E:63,ok,-87,3.52,10.12,17.78,3.52
F1:63:F2:BE:56:44,ok,-53,4.39,5.45,5.62,4.39
DB:6D:40:6D:A1:0F,ok,-75,7.44,10.75,14.13,7.44
FF:B4:7D:AB:1B:A2,ok,-59,9.67,10.95,7.94,9.67
FC:40:5D:54:A7:DD,ok,-63,9.00,10.41,7.94,9.00
EE:6F:EE:A7:34:31,ok,-74,8.79,13.17,28.18,8.79
DE:64:59:3D:8E:63,ok,-79,3.52,10.32,19.95,3.52
F1:63:F2:BE:56:44,ok,-53,4.39,5.44,5.62,4.39
DB:6D:40:6D:A1:0F,ok,-63,7.42,10.84,14.13,7.42
FF:B4:7D:AB:1B:A2,ok,-73,9.67,11.00,7.94,9.67
FC:40:5D:54:A7:DD,ok,-56,8.98,10.45,7.94,8.98
EE:6F:EE:A7:34:31,ok,-68,8.50,13.03,25.12,8.50
DE:64:59:3D:8E:63,ok,-69,3.52,10.12,19.95,3.52
